 Contracting Office,Procurement AAC Code,Sub Tier Code,Sub Tier Name,Notice ID,Contract Opportunity Type,Opportunity Title,Description,Current Response Date,Current Set Aside,Initiative,NAICS,PSC,Place of Performance - Country,Place of Performance - Zip,Place of Performance - City,Place of Performance - State,Interested Vendor List (IVL) Enabled,Package Attachment Count (Public),POC Name,POC Email,Unique Entity ID,Legal Business Name,Last Published Date,Inactive Date,Last Updated Date,Status
NAVSUP WEAPON SYSTEMS SUPPORT MECH,N00104,1700,DEPT OF THE NAVY,N0010424QYE40,Presolicitation,VALVE LINEAR DIRECT,"<p>NSN 4820 015672305, TDP VER 002, QTY 2 EA, DELIVER TO W25G1U, DLA DISTRIBUTION NEW CUMBERLAND, PA, 17070-, INDUCTION NIIN IS 7H, 4820, 015672305, V","Mar 3, 2026 08:30 PM UTC",8(a) Sole Source (FAR 19.8),None,Other Metal Valve and Pipe Fitting Manufacturing,"VALVES, NONPOWERED",,,,,true,,Telephone: 7176055937,TYREESE.C.SMITH.CIV@US.NAVY.MIL,,,"Feb 3, 2026 09:48 AM UTC","Mar 18, 2026 12:00 AM UTC","Feb 3, 2026 09:48 AM UTC",active
NIWC ATLANTIC,N65236,1700,DEPT OF THE NAVY,N6523624Q0360,Presolicitation,XG-75 Radio Repairs,"Naval Information Warfare Center (NIWC) Atlantic intends to award a Firm Fixed Price purchase order to L3 Harris,. The Government has a requirement fo","Sep 18, 2025 03:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Electronic and Precision Equipment Repair and Maintenance,MISCELLANEOUS COMMUNICATION EQUIPMENT,,,,,true,4,Javier RIVERA-FLOREZ,javier.a.rivera-florez.civ@us.navy.mil,,,"Sep 4, 2025 11:01 PM UTC","Sep 4, 2026 12:00 AM UTC","Sep 4, 2025 11:01 PM UTC",active
NIWC PACIFIC,N66001,1700,DEPT OF THE NAVY,1301315605,Special Notice,N66001-26-Q-6061 - Notice of Intent to Sole Source to PicoQuant Photonics North America Inc.,"The Department of the Navy, Naval Information Warfare Center Pacific (NIWC Pacific) hereby publicizes its intention to solicit, negotiate, and award a","Feb 12, 2026 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Analytical Laboratory Instrument Manufacturing,"OPTICAL INSTRUMENTS, TEST EQUIPMENT, COMPONENTS AND ACCESSORIES",,,,,true,4,Paolo Mendoza,paolo.r.mendoza.civ@us.navy.mil,,,"Feb 5, 2026 08:11 PM UTC","Feb 5, 2027 12:00 AM UTC","Feb 5, 2026 08:11 PM UTC",active
NIWC PACIFIC,N66001,1700,DEPT OF THE NAVY,N6600125Q6263,Special Notice,"Notice of Intent to Award Sole Source to Siemens Industry, Inc.","Naval Information Warfare Center, Pacific (NIWC Pacific) hereby publicizes its intention to solicit, negotiate, and award a Firm-Fixed-Price purchase","Jun 25, 2025 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Electronic and Precision Equipment Repair and Maintenance,MAINTENANCE OF ELECTRONIC AND COMMUNICATIONS FACILITIES,,98008,,,true,4,Jason Adame-Quenell,jason.adame-quenell.civ@us.navy.mil,,,"Jun 24, 2025 02:00 PM UTC","Jun 24, 2026 12:00 AM UTC","Jun 24, 2025 02:00 PM UTC",active
NIWC PACIFIC,N66001,1700,DEPT OF THE NAVY,N6600125Q6300,Special Notice,Notice of Intent to Award Sole Source to L3 Harris,"Naval Information Warfare Center, Pacific (NIWC Pacific) hereby publicizes its intention to solicit, negotiate, and award a Firm-Fixed-Price purchase","Jul 19, 2025 12:00 AM UTC",8(a) Sole Source (FAR 19.8),None,Electronic and Precision Equipment Repair and Maintenance,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",,92152,,,true,4,Jason Adame-Quenell,jason.adame-quenell.civ@us.navy.mil,,,"Jul 14, 2025 08:55 PM UTC","Jul 14, 2026 12:00 AM UTC","Jul 14, 2025 08:55 PM UTC",active
NSWC CRANE,N00164,1700,DEPT OF THE NAVY,N0016426Q0058,Combined Synopsis/Solicitation,SOLE SOURCE BRAND NAME - BATTERY PACKS,<p>N0016426Q0058 &ndash; SOLE SOURCE BRAND NAME - BATTERY PACKS &ndash; PSC 6140 -&nbsp;NAICS 335910 - ISSUE DATE 24 FEB 2026 &ndash; CLOSING DATE 3 M,"Mar 3, 2026 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Battery Manufacturing,"BATTERIES, RECHARGEABLE",,,,,true,1,CASSIDY SHAW,cassidy.k.shaw.civ@us.navy.mil,,,"Feb 24, 2026 07:15 PM UTC","Apr 17, 2026 12:00 AM UTC","Feb 24, 2026 07:15 PM UTC",active
NSWC DAHLGREN,N00178,1700,DEPT OF THE NAVY,N0017826D4300,Award Notice,Design to Build IDIQ,"<p>In accordance with FAR 19.805-1(b)(2) and CFR &sect;124.506, NSWCDD has determined it to be in the Government&rsquo;s best interest to make a direc",,8(a) Sole Source (FAR 19.8),None,,MAINTENANCE OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES,USA,,Dahlgren,VA,true,,Sara Haug,sara.n.haug.civ@us.navy.mil,,Puyenpa Construction LLC,"Mar 11, 2026 01:42 PM UTC","Apr 9, 2026 12:00 AM UTC","Mar 11, 2026 01:42 PM UTC",active
NSWC INDIAN HEAD DIVISION,N00174,1700,DEPT OF THE NAVY,N00174-25-SIMACQ-R1-0046,Special Notice,Rapid Screening Device,"<p><strong>THIS IS A NOTICE OF INTENT TO SOLE SOURCE, NOT A REQUEST FOR A QUOTE (RFQ).&nbsp; A RFQ WILL NOT BE ISSUED AND QUOTES WILL NOT BE REQUESTED","May 17, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Analytical Laboratory Instrument Manufacturing,CHEMICAL ANALYSIS INSTRUMENTS,USA,20640,Indian Head,MD,true,,Sharon Cooper,sharon.cooper@navy.mil,,,"May 7, 2025 07:49 PM UTC","Jun 1, 2026 12:00 AM UTC","May 7, 2025 07:49 PM UTC",active
NUWC DIV NEWPORT,N66604,1700,DEPT OF THE NAVY,N66604-21-Q-0134,Combined Synopsis/Solicitation,Underwater Scanning Laser Velocimeter,"<p>The Naval Undersea Warfare Center, Division Newport (NUWCDIVNPT) intends to award a firm fixed price purchase order on a sole source basis to Newto","Jan 22, 2021 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Analytical Laboratory Instrument Manufacturing,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),USA,98057,Renton,WA,true,3,Kevin E. Silva,kevin.e.silva@navy.mil,,,"Jan 15, 2021 06:38 PM UTC","Dec 31, 2121 12:00 AM UTC","Jan 15, 2021 06:38 PM UTC",active
OFFICE OF NAVAL RESEARCH,N00014,1700,DEPT OF THE NAVY,N0001426C4001,Award Notice,ONR Code 02 Support Services,"<p>The Office of Naval Research (ONR) seeks administrative support<br />nservices for the Contracts, Grants and Acquisition Department (Code<br />n02)",,8(a) Sole Source (FAR 19.8),None,,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,USA,22203,,VA,true,,"Dent, Mary Helen",Mary.Dent@navy.mil,XG32CSGYKGM8,"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.","Dec 4, 2025 08:15 PM UTC","Dec 1, 2026 12:00 AM UTC","Dec 4, 2025 08:15 PM UTC",active
PORTSMOUTH NAVAL SHIPYARD GF,N39040,1700,DEPT OF THE NAVY,N3904023Q0126,Special Notice,"Intent to Award Sole Source - Hyspan Precision Products, Inc.","<p><strong>NOTICE OF INTENT TO AWARD A SOLE SOURCE CONTRACT</strong> Under the authority of FAR 6.302-1, the Portsmouth Naval Shipyard, Contracting De","Apr 20, 2023 12:00 PM UTC",8(a) Sole Source (FAR 19.8),None,All Other Miscellaneous Fabricated Metal Product Manufacturing,HOSE AND FLEXIBLE TUBING,USA,03904,Kittery Point,ME,false,1,Madalyn Lavoie,madalyn.r.lavoie.civ@us.navy.mil,,,"Apr 13, 2023 01:52 PM UTC","Apr 21, 2032 12:00 AM UTC","Apr 13, 2023 01:52 PM UTC",active
SFLC PROCUREMENT BRANCH 2(00085),70Z085,7008,U.S. COAST GUARD,70Z08526N40071B00,Special Notice,"PURIFIER, CENTRIFUGAL",<p>Special Notice.</p>nn<p>Item is Sole Source.&nbsp;</p>nn<p>Please read Attachments.</p>n,"Mar 17, 2026 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Service Industry Machinery Manufacturing,WATER PURIFICATION EQUIPMENT,USA,21226,Curtis Bay,MD,true,2,Carlos Diaz Garcia,Carlos.A.DiazGarcia@uscg.mil,,,"Mar 12, 2026 05:19 PM UTC","Apr 1, 2026 12:00 AM UTC","Mar 12, 2026 05:19 PM UTC",active
SFLC PROCUREMENT BRANCH 2(00085),70Z085,7008,U.S. COAST GUARD,70Z08526Q001970,Special Notice,USCGC PATOKA MONITORING SYSTEM UPGRADE,"<p><strong><u>NOTICE OF INTENT TO SOLE SOURCE 70Z08526Q001970</u></strong></p>nn<p></p>nn<p>The Department of Homeland Security {DHS}, United States C","Mar 20, 2026 03:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Ship Building and Repairing,MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,USA,23320,Chesapeake,VA,true,2,"McTague, Sean",Sean.P.McTague@uscg.mil,,,"Mar 11, 2026 08:13 PM UTC","Apr 4, 2026 12:00 AM UTC","Mar 11, 2026 08:13 PM UTC",active
SFLC PROCUREMENT BRANCH 2(00085),70Z085,7008,U.S. COAST GUARD,70Z08526Q001977,Special Notice,USCGC WEDGE THROTTLE CONTROLLER UPGRADE,<p><strong>This is a combined synopsis/solicitation</strong></p>nn<p></p>nn<p>This is a combined synopsis/solicitation for commercial items/services p,"Mar 3, 2026 01:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Ship Building and Repairing,MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,USA,23320,Chesapeake,VA,true,1,"McTague, Sean",Sean.P.McTague@uscg.mil,,,"Feb 27, 2026 06:55 PM UTC","Mar 18, 2026 12:00 AM UTC","Feb 27, 2026 06:55 PM UTC",active
U.S. MARSHALS SERVICE,,,U.S. MARSHALS SERVICE,PODDetentionFacilitySME2026,Special Notice,Detention Facility Subject Matter Experts,"<p>The United States Marshals Service, Prisoner Operations Division, is seeking contractor assistance to provide a contract On-Site Subject Matter Exp","Mar 9, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Facilities Support Services,SUPPORT- PROFESSIONAL: OTHER,USA,,Baltimore,MD,true,1,Tara Gray,Tara.Gray@usdoj.gov,,,"Mar 3, 2026 04:12 PM UTC","Mar 24, 2026 12:00 AM UTC","Mar 3, 2026 04:12 PM UTC",active
US ARMY ENGINEER DISTRICT MOBILE,W91278,2100,DEPT OF THE ARMY,W9127824R0056,Award Notice,Indefinite Delivery Indefinite Quantity (IDIQ) Single Award Task Order Contract (SATOC) For General Repair and Construction at Department Of Homeland Security (DHS) Center for Domestic Preparedness (CDP),<p>This contract action was not awarded competitively. It was solicited to a single source in accordance with FAR Subpart 19.8 - Contracting with the,,8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,USA,36201,Anniston,AL,true,,Chanda D. Strenth,chanda.d.strenth@usace.army.mil,YM4WJ89Q1NE6,"DOMINGUEZ DESIGN-BUILD, INC","Sep 26, 2024 03:21 PM UTC","Sep 30, 2026 12:00 AM UTC","Sep 26, 2024 03:21 PM UTC",active
W076 ENDIST FT WORTH,W9126G,2100,DEPT OF THE ARMY,W9126G26RA026,Solicitation,B6413 BUILDING RENOVATION SECURE SPACE,Login at https://piee.eb.mil and search for 'W9126G26RA026' to obtain more details.*,"Jan 20, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER AIRFIELD STRUCTURES,,71110,,,true,3,Bijay Gurung,bijay.gurung@usace.army.mil,,,"Jan 12, 2026 10:46 PM UTC","Jan 12, 2027 12:00 AM UTC","Jan 12, 2026 10:46 PM UTC",active
W076 ENDIST FT WORTH,W9126G,2100,DEPT OF THE ARMY,W9126G26RA042,Solicitation,RENOVATE CORROSION CONTROL HANGAR BLG 6626,Login at https://piee.eb.mil and search for 'W9126G26RA042' to obtain more details.*,"Dec 23, 2025 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER AIRFIELD STRUCTURES,,71110,,,true,3,Bijay Gurung,bijay.gurung@usace.army.mil,,,"Dec 9, 2025 09:05 PM UTC","Dec 9, 2026 12:00 AM UTC","Dec 9, 2025 09:05 PM UTC",active
W076 ENDIST TULSA,W912BV,2100,DEPT OF THE ARMY,W912BV25RA001,Award Notice,"Asphalt Road Work at Keystone Lake, Oklahoma","Contract award of Asphalt Road Work at Keystone Lake, Oklahoma.",,8(a) Sole Source (FAR 19.8),None,"Highway, Street, and Bridge Construction",REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,,74020,,,true,,Cheyenne Redemann,cheyenne.a.redemann@usace.army.mil,JB9LEDWB9MN9,ACU CONSTRUCTION LLC,"Jul 16, 2025 06:23 PM UTC","Jul 16, 2026 12:00 AM UTC","Jul 16, 2025 06:23 PM UTC",active
W076 ENDIST TULSA,W912BV,2100,DEPT OF THE ARMY,W912BV25RA038,Solicitation,B9001 76 SWEG 187(SCIF),Login at https://piee.eb.mil and search for 'W912BV25RA038' to obtain more details.*,"Sep 16, 2025 06:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,,,,,true,3,Kordel Tyler,kordel.m.tyler@usace.army.mil,,,"Sep 15, 2025 09:40 PM UTC","Sep 15, 2026 12:00 AM UTC","Sep 15, 2025 09:40 PM UTC",active
W2SD ENDIST BALTIMORE,W912DR,2100,DEPT OF THE ARMY,W912DR25Q0011,Combined Synopsis/Solicitation,Quorum Congressional Subscription Services,Login at https://piee.eb.mil and search for 'W912DR25Q0011' to obtain more details.*,"Jun 2, 2025 09:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Software Publishers,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (,,21201,,,true,3,Neil Gonzalez,Neil.O.Gonzalez@usace.army.mil,,,"May 20, 2025 02:26 PM UTC","May 20, 2026 12:00 AM UTC","May 20, 2025 02:26 PM UTC",active
W2SD ENDIST BALTIMORE,W912DR,2100,DEPT OF THE ARMY,W912DR25QA007,Presolicitation,Online FedRAMP Licenses,Login at https://piee.eb.mil and search for 'W912DR25QA007' to obtain more details.*,"Mar 26, 2025 10:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Software Publishers,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (,,,,,false,3,Neil Gonzalez,Neil.O.Gonzalez@usace.army.mil,,,"Mar 18, 2025 02:47 PM UTC","Mar 18, 2026 12:00 AM UTC","Mar 18, 2025 02:47 PM UTC",active
W6QK ACC WVA,W911PT,2100,DEPT OF THE ARMY,W911PT26PA054,Award Notice,"Hot Water Loop Repair Watervliet Arsenal, Watervliet NY","<p>This contract was a direct 8(a) sole source with DMyles Inc., Niagara Falls, New York.</p>nn<p></p>n",,8(a) Sole Source (FAR 19.8),None,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPME",USA,12189,Watervliet,NY,true,1,Christopher Battiste,christopher.k.battiste.civ@army.mil,HS24M3JAGVU5,DMYLES INC.,"Mar 16, 2026 08:03 PM UTC","Mar 31, 2026 12:00 AM UTC","Mar 16, 2026 08:03 PM UTC",active
W6QK ACC WVA,W911PT,2100,DEPT OF THE ARMY,W911PT26QA036,Solicitation,"Reactive Services for Machine Maintenance/Repairs and Maintenance/Repairs at the Watervliet Arsenal, Watervliet NY.","<p>This acquisition will be a direct 8(a) sole source with DMyles Inc., (CAGE: 723U0), Niagara Falls, NY 14305.</p>nn<p>Contractor to provide Reactive","Mar 16, 2026 04:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,USA,12189,Watervliet,NY,false,1,Christopher Battiste,christopher.k.battiste.civ@army.mil,,,"Mar 5, 2026 03:20 PM UTC","Mar 31, 2026 12:00 AM UTC","Mar 5, 2026 03:20 PM UTC",active
W6QK ACC- DTA,W912CH,2100,DEPT OF THE ARMY,W912CH-26-R-0039,Sources Sought,Operator and Maintainer Technical Manual for the Forward Repair System (FRS),<p>Operator and Maintainer Manual for the Forward Repair System (FRS) Sources Sought.</p>nn<p>Additional information is enclosed in the attachment.</p,"Mar 13, 2026 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Book Publishers,BOOKS AND PAMPHLETS,,,,,false,1,Barbara Rogowski,barbara.rogowski2.civ@army.mil,,,"Feb 11, 2026 07:09 PM UTC","Mar 28, 2026 12:00 AM UTC","Feb 11, 2026 07:09 PM UTC",active
W6QM MICC-FT KNOX,W9124D,2100,DEPT OF THE ARMY,W9124D26DA003,Award Notice,Fort Knox NEC Wiring,"<p>Communications infrastructure wiring construction task order contract for facilities on Fort Knox, KY and supported by the Fort Knox local Network",,8(a) Sole Source (FAR 19.8),None,Electrical Contractors and Other Wiring Installation Contractors,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,USA,40121,Fort Knox,KY,true,,Wesley E Dowell,wesley.e.dowell.civ@army.mil,Z8HGMC5U9CT6,"OCS-NCS JV II, LLC","Feb 18, 2026 07:28 PM UTC","Apr 15, 2026 12:00 AM UTC","Feb 18, 2026 07:28 PM UTC",active
WASHINGTON HEADQUARTERS SERVICES,HQ0034,97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),HQ003425RE161,Solicitation,25_046 CNVT 08E12 OSD DA M RFP,Login at https://piee.eb.mil and search for 'HQ003425RE161' to obtain more details.*,"Sep 23, 2025 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OFFICE BUILDINGS,,22350,,,true,3,Melvina L. McNeill,melvina.l.mcneill.civ@mail.mil,,,"Sep 16, 2025 07:56 PM UTC","Sep 16, 2026 12:00 AM UTC","Sep 16, 2025 07:56 PM UTC",active
,,,,47PH0526C0001,Award Notice,"Design Build Security System Infrastructure Installation US Post Office and Courthouse Ave Texarkana, AR",<p>SBA 8(a) Set Aside Sole Source Procurement</p>n,,8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OFFICE BUILDINGS,USA,71854,,AR,false,,Stephan J. Harris,stephan.harris@gsa.gov,LZCXKCPHBNF4,"BIG C CONSTRUCTION, L.L.C","Oct 29, 2025 03:34 PM UTC","Nov 13, 2026 12:00 AM UTC","Oct 29, 2025 03:34 PM UTC",active
