Bond_symbol,Issuer_name,Interest_rate,Maturity_date,Face_value,Underlying,Alt_Symbol,Suffix,Issue_type,Bypass_clearing,Currency_code,Flat,Bankrupt,Exchange
BRK.B/31B,PacifiCorp. 5.30% 1ST MTG BDS 02/15/2031,5.3,02/15/2031,1000,BRK.B,/,31B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/31C,PacifiCorp. 5.10% 1ST MTG BDS 04/15/2031,5.1,04/15/2031,1000,BRK.B,/,31C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/32,Berkshire Hathaway Finance Corporation 2.875% SNR NTS 03/15/2032,2.875,03/15/2032,1000,BRK.B,/,32,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/33,PacifiCorp. 5.45% 1ST MTG BDS 04/15/2033,5.45,04/15/2033,1000,BRK.B,/,33,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/34,PacifiCorp 5.9 08/15/2034,5.9,08/15/2034,1000,BRK.B,/,34,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/34A,Lubrizol Corp 6.500% SR DEB 10/01/34,6.5,10/01/2034,1000,BRK.B,/,34A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/34B,Midamerican Energy Company 5.35% 1ST MTG NTS 01/15/2034,5.35,01/15/2034,1000,BRK.B,/,34B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/34C,PacifiCorp. 5.45% 1ST MTG BDS 02/15/2034,5.45,02/15/2034,1000,BRK.B,/,34C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/35,Precision Castparts Corp 4.2 06/15/2035,4.2,06/15/2035,1000,BRK.B,/,35,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/35A,PacifiCorp 5.25 06/15/2035,5.25,06/15/2035,1000,BRK.B,/,35A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/35C,Eastern Energy Gas Holdings Llc 5.80% SNR NTS 01/15/2035,5.8,01/15/2035,1000,BRK.B,/,35C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36,MidAmerican Energy Holdings 6.125% 04/01/36,6.125,04/01/2036,1000,BRK.B,/,36,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36A,PacifiCorp. 6.10%  08/01/2036,6.1,08/01/2036,1000,BRK.B,/,36A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36B,Burlington Northern BNSF 6.20% 08/15/2036,6.2,08/15/2036,1000,BRK.B,/,36B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36C,Nevada Power Co 6.65 04/01/2036,6.65,04/01/2036,1000,BRK.B,/,36C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36D,Nevada Power Co 6.65 04/01/2036,6.65,04/01/2036,1000,BRK.B,/,36D,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36E,Burlington Northern Santa Fe Corporation 7.29% SNR UNSEC DEB 06/01/2036,7.29,06/01/2036,1000,BRK.B,/,36E,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/36F,PacifiCorp. 5.80% 1ST MTG BDS 04/15/2036,5.8,04/15/2036,1000,BRK.B,/,36F,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37,MidAmerican Energy Holdings 5.95% SNR NTS 05/15/2037,5.95,05/15/2037,1000,BRK.B,/,37,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37A,Burlington Northern Santa FE 6.53% 07/15/2037,6.53,07/15/2037,1000,BRK.B,/,37A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37B,Sierra Pacific Power Co 6.75 07/01/2037,6.75,07/01/2037,1000,BRK.B,/,37B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37C,Burlington Northern Santa Fe 6.15% SNR NTS 05/01/2037,6.15,05/01/2037,1000,BRK.B,/,37C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37D,Nevada Power 6.75% NTS 7/1/37,6.75,07/01/2037,1000,BRK.B,/,37D,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37E,Sierra Pacific Power 6.75% NTS 7/1/37,6.75,07/01/2037,1000,BRK.B,/,37E,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37F,PacifiCorp 5.75 04/01/2037,5.75,04/01/2037,1000,BRK.B,/,37F,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37G,PacifiCorp 6.25 10/15/2037,6.25,10/15/2037,1000,BRK.B,/,37G,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/37H,MidAmerican Energy Holdings 6.50% SR NTS 09/15/2037,6.5,09/15/2037,1000,BRK.B,/,37H,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/38,PacifiCorp 6.35 07/15/2038,6.35,07/15/2038,1000,BRK.B,/,38,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/39,PacifiCorp 6 01/15/2039,6,01/15/2039,1000,BRK.B,/,39,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/39A,Transatlantic Holdings 8.00% SNR NTS 11/30/2039,8,11/30/2039,1000,BRK.B,/,39A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/40,Berkshire Hathaway 5.75% 01/15/40,5.75,01/15/2040,1000,BRK.B,/,40,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/40A,Berkshire Hathaway 5.75% 05/01/40,5.75,05/01/2040,1000,BRK.B,/,40A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/40B,Nevada Power Co 5.375 09/15/2040,5.375,09/15/2040,1000,BRK.B,/,40B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/41,Burlington Northern Santa Fe 4.95% 09/15/2041,4.95,09/15/2041,1000,BRK.B,/,41,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/41A,Burlington Northern Santa Fe. 5.05% 03/01/2041,5.05,03/01/2041,1000,BRK.B,/,41A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/41B,Burlington Northern Santa Fe 5.40% SNR NTS 06/01/2041,5.4,06/01/2041,1000,BRK.B,/,41B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/41C,Nevada Power Co. 5.45% 05/15/41,5.45,05/15/2041,1000,BRK.B,/,41C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/42,PacifiCorp 4.10%  02/01/2042,4.1,02/01/2042,1000,BRK.B,/,42,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/42A,Burlington Northern Santa Fe 4.40% 03/15/2042,4.4,03/15/2042,1000,BRK.B,/,42A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/42B,Berkshire Hathaway Finance 4.40% 05/15/2042,4.4,05/15/2042,1000,BRK.B,/,42B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/42C,Burlington Northern Santa Fe 4.375% 09/01/2042,4.375,09/01/2042,1000,BRK.B,/,42C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43,Berkshire Hathaway 4.50% 02/11/2043,4.5,02/11/2043,1000,BRK.B,/,43,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43A,Burlington Northern Santa Fe 4.45% 03/15/2043,4.45,03/15/2043,1000,BRK.B,/,43A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43B,Berkshire Hathaway Finance 4.30%  05/15/2043,4.3,05/15/2043,1000,BRK.B,/,43B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43C,Burlington Northern BNSF 5.15% 09/1/2043,5.15,09/01/2043,1000,BRK.B,/,43C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43D,Midamerican Energy 4.80% 09/15/2043,4.8,09/15/2043,1000,BRK.B,/,43D,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43E,Precision Castparts Corp 3.90% 01/15/2043,3.9,01/15/2043,1000,BRK.B,/,43E,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/43F,Berkshire Hathaway Energy Co 5.15 11/15/2043,5.15,11/15/2043,1000,BRK.B,/,43F,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/44,Burlington Northern  4.90% 04/01/2044,4.9,04/01/2044,1000,BRK.B,/,44,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/44A,MidAmerican Energy  4.40% 10/15/2044,4.4,10/15/2044,1000,BRK.B,/,44A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/44B,Burlington Northern Santa Fe 4.55%  09/1/2044,4.55,09/01/2044,1000,BRK.B,/,44B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/44C,Alleghany Corporation 4.90% 09/15/2044,4.9,09/15/2044,1000,BRK.B,/,44C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/45,Precision Castparts Corp 4.375 06/15/2045,4.375,06/15/2045,1000,BRK.B,/,45,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/45A,Burlington Northern Santa Fe LLC 4.15 04/01/2045,4.15,04/01/2045,1000,BRK.B,/,45A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/45B,Burlington Northern Santa Fe LLC 4.7 09/01/2045,4.7,09/01/2045,1000,BRK.B,/,45B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/45C,Berkshire Hathaway Energy Co 4.5 02/01/2045,4.5,02/01/2045,1000,BRK.B,/,45C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/46,Burlington Northern Santa Fe LLC 3.9 08/01/2046,3.9,08/01/2046,1000,BRK.B,/,46,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/46A,Midamerican Energy Company 4.25 05/01/2046,4.25,05/01/2046,1000,BRK.B,/,46A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/47,Midamerican Energy Company 3.95 08/01/2047,3.95,08/01/2047,1000,BRK.B,/,47,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/47A,Burlington Northern Santa Fe LLC 4.125% 06/15/2047,4.125,06/15/2047,1000,BRK.B,/,47A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/48,Burlington Northern Santa Fe LLC 4.15% 12/15/2048,4.15,12/15/2048,1000,BRK.B,/,48,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/48A,Berkshire Hathaway Finance Corporation 4.20%  08/15/2048,4.2,08/15/2048,1000,BRK.B,/,48A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/48B,Berkshire Hathaway Energy Company 3.80% 07/15/2048,3.8,07/15/2048,1000,BRK.B,/,48B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/48C,Burlington Northern Santa Fe LLC 4.05% 06/15/2048,4.05,06/15/2048,1000,BRK.B,/,48C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/49,PacifiCorp 4.125% 01/15/2049,4.125,01/15/2049,1000,BRK.B,/,49,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/49A,Berkshire Hathaway Finance Corporation 4.25% SNR NTS 01/15/2049,4.25,01/15/2049,1000,BRK.B,/,49A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/49B,Midamerican Energy Company 4.25% 07/15/2049,4.25,07/15/2049,1000,BRK.B,/,49B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50,PacifiCorp 4.15% BNDS 02/15/2050,4.15,02/15/2050,1000,BRK.B,/,50,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50A,Burlington Northern Santa Fe LLC 3.55% SNR NTS 02/15/2050,3.55,02/15/2050,1000,BRK.B,/,50A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50B,Midamerican Energy Company 3.15% SNR DEB 04/15/2050,3.15,04/15/2050,1000,BRK.B,/,50B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50C,Nevada Power Company 3.125% SNR NTS 08/01/2050,3.125,08/01/2050,1000,BRK.B,/,50C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50D,Berkshire Hathaway Energy Company 4.25% SNR NTS 10/15/2050,4.25,10/15/2050,1000,BRK.B,/,50D,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/50E,Berkshire Hathaway Finance Corporation 2.85% SNR NTS 10/15/2050,2.85,10/15/2050,1000,BRK.B,/,50E,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/51,PacifiCorp 3.30% SNR NTS 03/15/2051,3.3,03/15/2051,1000,BRK.B,/,51,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/51A,Burlington Northern Santa Fe LLC 3.05% SNR NTS 02/15/2051,3.05,02/15/2051,1000,BRK.B,/,51A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/51B,Burlington Northern Santa Fe LLC 3.30% SNR NTS 09/15/2051,3.3,09/15/2051,1000,BRK.B,/,51B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/51C,Alleghany Corp 3.25% SNR NTS 08/15/2051,3.25,08/15/2051,1000,BRK.B,/,51C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/52,PacifiCorp 2.90% 1ST MTG BDS 06/15/2052,2.9,06/15/2052,1000,BRK.B,/,52,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/52A,Midamerican Energy Company 2.70% 1ST MTG BDS 08/01/2052,2.7,08/01/2052,1000,BRK.B,/,52A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/53,Burlington Northern Santa Fe LLC 4.45% SNR UNSEC DEB 01/15/2053,4.45,01/15/2053,1000,BRK.B,/,53,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/53A,Nevada Power Company 5.90% BNDS 05/01/2053,5.9,05/01/2053,1000,BRK.B,/,53A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/53B,PacifiCorp. 5.35% NTS 12/01/2053,5.35,12/01/2053,1000,BRK.B,/,53B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/54,PacifiCorp. 5.50% 1ST MTG BD 05/15/2054,5.5,05/15/2054,1000,BRK.B,/,54,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/54A,Burlington Northern Santa Fe LLC 5.20% SNR UNSEC DEB  04/15/2054,5.2,04/15/2054,1000,BRK.B,/,54A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/54B,Midamerican Energy Company 5.85% 1ST MTG BDS 09/15/2054,5.85,09/15/2054,1000,BRK.B,/,54B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/54C,Nevada Power Company 6.00% SNR NTS 03/15/2054,6,03/15/2054,1000,BRK.B,/,54C,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/54D,Eastern Energy Gas Holdings Llc 5.65% SNR NTS 10/15/2054,5.65,10/15/2054,1000,BRK.B,/,54D,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/55,PacifiCorp. 5.80% 1ST MTG BDS 01/15/2055,5.8,01/15/2055,1000,BRK.B,/,55,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/55A,Midamerican Energy Company 5.30% 1ST MTG BDS 02/01/2055,5.3,02/01/2055,1000,BRK.B,/,55A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/55B,Eastern Energy Gas Holdings Llc 6.20% SNR NTS 01/15/2055,6.2,01/15/2055,1000,BRK.B,/,55B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/56,Burlington Northern Santa Fe LLC 5.80% SNR NTS 03/15/2056,5.8,03/15/2056,1000,BRK.B,/,56,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/56A,Midamerican Energy Company 5.50% 1ST MTG BDS  11/15/2056,5.5,11/15/2056,1000,BRK.B,/,56A,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/56B,Burlington Northern Santa Fe LLC 5.55% SNR UNSEC DEB 03/15/2056,5.55,03/15/2056,1000,BRK.B,/,56B,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B/97,Burlington Northern Santa Fe Corporation 7.25% SNR UNSEC DEB 08/01/2097,7.25,08/01/2097,1000,BRK.B,/,97,Corporate Bonds,NSCC,Regular Way,,,U
BRK.B51,Berkshire Hathaway Finance Corporation 2.50% SNR NTS 01/15/2051,2.5,01/15/2051,1000,BRK.B,,51,Corporate Bonds,NSCC,Regular Way,,,U
BRK/30,Berkshire Hathaway Finance Corporation 1.50% SNR NTS 03/18/2030,1.5,03/18/2030,1000,,BRK/,30,Corporate Bonds,No Clearing,Euros,,,N
BRK/34,Berkshire Hathaway Finance Corporation 2.00% SNR NTS 03/18/2034,2,03/18/2034,1000,,BRK/,34,Corporate Bonds,No Clearing,Euros,,,N
BRK/39,Berkshire Hathaway Finance Corporation 2.375% SNR NTS 06/19/2039,2.375,06/19/2039,1000,,BRK/,39,Corporate Bonds,No Clearing,British Pounds,,,N
BRK/59,Berkshire Hathaway Finance Corporation 2.625% SNR NTS 06/19/2059,2.625,06/19/2059,1000,,BRK/,59,Corporate Bonds,No Clearing,British Pounds,,,N
BRK27,Berkshire Hathaway Inc. 1.125% SR NTS  03/16/2027,1.125,03/16/2027,1000,,BRK,27,Corporate Bonds,No Clearing,Euros,,,N
BRK28,Berkshire Hathaway Inc.2.150% Senior Notes due 2028 03/15/2028,2.15,03/15/2028,1000,,BRK,28,Corporate Bonds,No Clearing,Euros,,,N
BRK35,Berkshire Hathaway Inc. 1.625% SR NTS 03/16/2035,1.625,03/16/2035,1000,,BRK,35,Corporate Bonds,No Clearing,Euros,,,N
BRK41,Berkshire Hathaway Inc. 0.50%  SNR NTS 01/15/2041,0.5,01/15/2041,1000,,BRK,41,Corporate Bonds,No Clearing,Euros,,,N
BRO26,Brown & Brown Inc 4.60% SNR NTS 12/23/2026,4.6,12/23/2026,1000,BRO,,26,Corporate Bonds,NSCC,Regular Way,,,U
BRO28,Brown & Brown Inc 4.70% SNR NTS 06/23/2028,4.7,06/23/2028,1000,BRO,,28,Corporate Bonds,NSCC,Regular Way,,,U
BRO29,Brown & Brown Inc 4.50% SNR NTS 03/15/2029,4.5,03/15/2029,1000,BRO,,29,Corporate Bonds,NSCC,Regular Way,,,U
BRO30,Brown & Brown Inc 4.90% SNR NTS 06/23/2030,4.9,06/23/2030,1000,BRO,,30,Corporate Bonds,NSCC,Regular Way,,,U
BRO31,Brown & Brown Inc 2.375% SNR NTS 03/15/2031,2.375,03/15/2031,1000,BRO,,31,Corporate Bonds,NSCC,Regular Way,,,U
BRO32,Brown & Brown Inc 4.20% SNR NTS 03/17/2032,4.2,03/17/2032,1000,BRO,,32,Corporate Bonds,NSCC,Regular Way,,,U
BRO32A,Brown & Brown Inc 5.25% SNR NTS 06/23/2032,5.25,06/23/2032,1000,BRO,,32A,Corporate Bonds,NSCC,Regular Way,,,U
BRO34,Brown & Brown Inc 5.65% SNR NTS 06/11/2034,5.65,06/11/2034,1000,BRO,,34,Corporate Bonds,NSCC,Regular Way,,,U
BRO35,Brown & Brown Inc 5.55% SNR NTS 06/23/2035,5.55,06/23/2035,1000,BRO,,35,Corporate Bonds,NSCC,Regular Way,,,U
BRO52,Brown & Brown Inc 4.95% SNR NTS  03/17/2052,4.85,03/17/2052,1000,BRO,,52,Corporate Bonds,NSCC,Regular Way,,,U
BRO55,Brown & Brown Inc 6.25% SNR NTS 06/23/2055,6.25,06/23/2055,1000,BRO,,55,Corporate Bonds,NSCC,Regular Way,,,U
BRX/26,Brixmor Operating Partnership LP 4.125% 06/15/2026,4.125,06/15/2026,1000,BRX,/,26,Corporate Bonds,NSCC,Regular Way,,,U
BRX/26A,Brixmor LLC 7.65% 11/02/2026,7.65,11/02/2026,1000,BRX,/,26A,Corporate Bonds,NSCC,Regular Way,,,U
BRX/27,Brixmor Operating Partnership LP 3.9 03/15/2027,3.9,03/15/2027,1000,BRX,/,27,Corporate Bonds,NSCC,Regular Way,,,U
BRX/28,Brixmor LLC 6.90% 02/15/2028,6.9,02/15/2028,1000,BRX,/,28,Corporate Bonds,NSCC,Regular Way,,,U
BRX/28A,Brixmor LLC 6.90% 02/15/2028,6.9,02/15/2028,1000,BRX,/,28A,Corporate Bonds,NSCC,Regular Way,,,U
BRX/29,Brixmor LLC 7.50% 07/30/2029,7.5,07/30/2029,1000,BRX,/,29,Corporate Bonds,NSCC,Regular Way,,,U
BRX/29A,Brixmor Operating Partnership LP 4.125% SNR NTS 05/15/2029,4.125,05/15/2029,1000,BRX,/,29A,Corporate Bonds,NSCC,Regular Way,,,U
BRX/30,Brixmor Operating Partnership LP 4.05% SNR NTS 07/01/2030,4.05,07/01/2030,1000,BRX,/,30,Corporate Bonds,NSCC,Regular Way,,,U
BRX/32,Brixmor Operating Partnership LP 5.20% SNR NTS 04/01/2032,5.2,04/01/2032,1000,BRX,/,32,Corporate Bonds,NSCC,Regular Way,,,U
BRX/33,Brixmor Operating Partnership LP 4.85% SNR NTS 02/15/2033,4.85,02/15/2033,1000,BRX,/,33,Corporate Bonds,NSCC,Regular Way,,,U
BRX/34,Brixmor Operating Partnership LP 5.50% SNR NTS 02/15/2034,5.5,02/15/2034,1000,BRX,/,34,Corporate Bonds,NSCC,Regular Way,,,U
BRX/35,Brixmor Operating Partnership LP 5.75% SNR NTS 02/15/2035,5.75,02/15/2035,1000,BRX,/,35,Corporate Bonds,NSCC,Regular Way,,,U
BSX27,Boston Scientific Corporation 0.625% SNR NTS 12/01/2027,0.625,12/01/2027,1000,BSX,,27,Corporate Bonds,No Clearing,Euros,,,N
BSX28,Boston Scientific Corporation 4.00% 03/01/2028,4,03/01/2028,1000,BSX,,28,Corporate Bonds,NSCC,Regular Way,,,U
BSX29,Boston Scientific Corporation 4.00% SNR NTS 03/01/2029,4,03/01/2029,1000,BSX,,29,Corporate Bonds,NSCC,Regular Way,,,U
BSX30,Boston Scientific Corporation 2.65% SNR NTS 06/01/2030,2.65,06/01/2030,1000,BSX,,30,Corporate Bonds,NSCC,Regular Way,,,U
BSX35,Boston Scientific Corporation 6.50% 11/15/2035,6.5,11/15/2035,1000,BSX,,35,Corporate Bonds,NSCC,Regular Way,,,U
BSX39,Boston Scientific Corporation 4.55% SNR NTS 03/01/2039,4.55,03/01/2039,1000,BSX,,39,Corporate Bonds,NSCC,Regular Way,,,U
BSX40,Boston Scientific Corporation 7.375% SNR NTS 01/15/2040,7.375,01/15/2040,1000,BSX,,40,Corporate Bonds,NSCC,Regular Way,,,U
BSX49,Boston Scientific Corporation 4.70% SNR NTS 03/01/2049,4.7,03/01/2049,1000,BSX,,49,Corporate Bonds,NSCC,Regular Way,,,U
BTI/33,B.A.T. Capital Corporation 4.625% SNR NTS 03/22/2033,4.625,03/22/2033,1000,BTI,/,33,Corporate Bonds,NSCC,Regular Way,,,N
BTI/35,Reynolds American Inc 5.7 08/15/2035,5.7,08/15/2035,1000,BTI,/,35,Corporate Bonds,NSCC,Regular Way,,,U
BTI/37,Reynolds American 7.25% GTD NTS 6/15/37,7.25,06/15/2037,1000,BTI,/,37,Corporate Bonds,NSCC,Regular Way,,,U
BTI/40,Lorillard Tobacco Co S 8.125% NR NTS 05/01/2040,8.125,05/01/2040,1000,BTI,/,40,Corporate Bonds,NSCC,Regular Way,,,U
BTI/40A,Reynolds American Inc 8.125 05/01/2040,8.125,05/01/2040,1000,BTI,/,40A,Corporate Bonds,NSCC,Regular Way,,,U
BTI/41,Lorillard Tobacco Co. 7.00%  08/04/2041,7,08/04/2041,1000,BTI,/,41,Corporate Bonds,NSCC,Regular Way,,,U
BTI/41A,Reynolds American Inc 7 08/04/2041,7,08/04/2041,1000,BTI,/,41A,Corporate Bonds,NSCC,Regular Way,,,U
BTI/42,Reynolds American Inc 4.75% 11/01/2042,4.75,11/01/2042,1000,BTI,/,42,Corporate Bonds,NSCC,Regular Way,,,U
BTI/43,Reynolds American Inc 6.15% 09/15/2043,6.15,09/15/2043,1000,BTI,/,43,Corporate Bonds,NSCC,Regular Way,,,U
BTI/45,Reynolds American Inc 5.85 08/15/2045,5.85,08/15/2045,1000,BTI,/,45,Corporate Bonds,NSCC,Regular Way,,,U
BTI26,B.A.T Capital Corporation 3.215% SNR NTS 09/06/2026,3.215,09/06/2026,1000,BTI,,26,Corporate Bonds,NSCC,Regular Way,,,N
BTI27,B.A.T Capital Corporation 3.557% NTS 08/15/2027,3.557,08/15/2027,1000,BTI,,27,Corporate Bonds,NSCC,Regular Way,,,N
BTI27A,B.A.T. Capital Corporation 4.70% SNR NTS 04/02/2027,4.7,04/02/2027,1000,BTI,,27A,Corporate Bonds,NSCC,Regular Way,,,N
BTI28,B.A.T. Capital Corporation 2.259% SNR NTS 03/25/2028,2.259,03/25/2028,1000,BTI,,28,Corporate Bonds,NSCC,Regular Way,,,N
BTI28A,B.A.T Capital Corporation 4.448% Notes 03/16/2028,4.448,03/16/2028,1000,BTI,,28A,Corporate Bonds,NSCC,Regular Way,,,N
BTI29,B.A.T Capital Corporation 3.462% SNR NTS 09/06/2029,3.462,09/06/2029,1000,BTI,,29,Corporate Bonds,NSCC,Regular Way,,,N
BTI29A,B.A.T. International Finance PLC 5.931% SNR NTS 02/02/2029,5.931,02/02/2029,1000,BTI,,29A,Corporate Bonds,NSCC,Regular Way,,,N
BTI30,B.A.T. Capital Corporation 4.906% SNR NTS 04/02/2030,4.906,04/02/2030,1000,BTI,,30,Corporate Bonds,NSCC,Regular Way,,,N
BTI30A,B.A.T. Capital Corporation 6.343% SNR NTS  08/02/2030,6.343,08/02/2030,1000,BTI,,30A,Corporate Bonds,NSCC,Regular Way,,,N
BTI31,B.A.T. Capital Corporation 2.726% SNR NTS 03/25/2031,2.726,03/25/2031,1000,BTI,,31,Corporate Bonds,NSCC,Regular Way,,,N
BTI31A,B.A.T. Capital Corporation 5.834% SNR NTS 02/20/2031,5.834,02/20/2031,1000,BTI,,31A,Corporate Bonds,NSCC,Regular Way,,,N
BTI32,B.A.T Capital Corporation 4.742% Notes 03/16/2032,4.742,03/16/2032,1000,BTI,,32,Corporate Bonds,NSCC,Regular Way,,,N
BTI32A,B.A.T. Capital Corporation 7.75% SNR NTS 10/19/2032,7.75,10/19/2032,1000,BTI,,32A,Corporate Bonds,NSCC,Regular Way,,,N
BTI32B,B.A.T. Capital Corporation 5.35% SNR NTS 08/15/2032,5.35,08/15/2032,1000,BTI,,32B,Corporate Bonds,NSCC,Regular Way,,,N
BTI33,B.A.T. Capital Corporation 6.421% SNR NTS  08/02/2033,6.421,08/02/2033,1000,BTI,,33,Corporate Bonds,NSCC,Regular Way,,,N
BTI34,B.A.T. Capital Corporation 6.00% SNR NTS 02/20/2034,6,02/20/2034,1000,BTI,,34,Corporate Bonds,NSCC,Regular Way,,,N
BTI35,B.A.T. Capital Corporation 5.625% SNR NTS 08/15/2035,5.625,08/15/2035,1000,BTI,,35,Corporate Bonds,NSCC,Regular Way,,,N
BTI37,B.A.T Capital Corporation 4.390% NTS 08/15/2037,4.39,08/15/2037,1000,BTI,,37,Corporate Bonds,NSCC,Regular Way,,,N
BTI40,B.A.T. Capital Corporation 3.734% SNR NTS 09/25/2040,3.734,09/25/2040,1000,BTI,,40,Corporate Bonds,NSCC,Regular Way,,,N
BTI43,B.A.T. Capital Corporation 7.079% SNR NTS  08/02/2043,7.079,08/02/2043,1000,BTI,,43,Corporate Bonds,NSCC,Regular Way,,,N
BTI47,B.A.T Capital Corporation 4.540% NTS 08/15/2047,4.54,08/15/2047,1000,BTI,,47,Corporate Bonds,NSCC,Regular Way,,,N
BTI49,B.A.T Capital Corporation 4.758% SNR NTS 09/06/2049,4.758,09/06/2049,1000,BTI,,49,Corporate Bonds,NSCC,Regular Way,,,N
BTI50,B.A.T. Capital Corporation 5.282% SNR NTS 04/02/2050,5.282,04/02/2050,1000,BTI,,50,Corporate Bonds,NSCC,Regular Way,,,N
