date	old_codes	new_codes	tables	line_numbers	description
2019q1	New code	596403253			Pension funds; other current transfers received, actual household contributions to defined contribution plans(IMA)
2019q1	New code	596403073			Pension funds; other current transfers paid, benefit payments and withdrawals from defined contribution plans (IMA)
2019q1	New code	576403233			Private defined contribution pension funds; other current transfers received, actual employer contributions (IMA)
2019q1	New code	574022075	 B.101.e	 9	Private defined contribution pension funds; debt held directly and indirectly through mutual funds; asset
2019q1	New code	573064223			Private defined contribution pension funds; debt securities held indirectly through mutual funds; asset
2019q1	New code	544022053	 B.101.e	 8	Life insurance companies; debt securities held indirectly through mutual funds; asset
2019q1	New code	366403233			General government; other current transfers received, actual employer contributions to defined contribution pension plans (IMA)
2019q1	New code	364122085	 X.12	 43	General government; debt securities (sum of holders); liability
2019q1	New code	264122085	 X.12	 34	Rest of the world; debt securities, excluding negotiable certificates of deposit (sum of holders); liability
2019q1	New code	223064223	 B.101.e	 11	State and local government employee retirement funds; debt securities held indirectly through mutual funds; asset
2019q1	New code	163162085	 X.12	 44	Nonprofit organizations; municipal securities (sum of holders); liability
2019q1	New code	154022375	 B.101.e	 5	Households and nonprofit organizations; directly and indirectly held debt securities; asset
2019q1	New code	154022075	 B.101.e	 7	Households and nonprofit organizations; indirectly held debt securities; asset
2019q1	New code	104122085	 X.12	 41	Nonfinancial corporate business; debt securities (sum of holders); liability
2019q1	543064285	Deleted	F.116.s, L.116.s	14, 14	Life insurance companies, separate accounts; mutual fund shares, including variable annuity mutual fund shares; asset
2019q1	543064283	Deleted			Life insurance companies, separate accounts; mutual fund shares, excluding variable annuity mutual fund shares; asset
2019q1	543064183	543064185	 F.116.s, L.116.s	 13, 13	Life insurance companies, separate accounts; corporate equities
2019q1	543064085	543064083			Life insurance companies, separate accounts; corporate equities, variable annuity mutual fund shares, and variable annuity money market fund shares; asset
2019q1	543063865	Deleted			Life insurance companies; domestic corporate bonds; asset (book value)
2019q1	543063853	Deleted			Life insurance companies, separate accounts; domestic corporate bonds; asset (book value)
2019q1	543063843	Deleted			Life insurance companies, general accounts; domestic corporate bonds; asset (book value)
2019q1	543063643	Deleted			Life insurance companies, general accounts; mortgage-backed securities and other asset-backed bonds; asset (book value)
2019q1	543063265	Deleted			Life insurance companies; foreign bonds; asset (book value)
2019q1	543063253	Deleted			Life insurance companies, separate accounts; foreign bonds; asset (book value)
2019q1	543063243	Deleted			Life insurance companies, general accounts; foreign bonds; asset (book value)
2019q1	543063065	Deleted			Life insurance companies; corporate and foreign bonds; asset (book value)
2019q1	543063055	Deleted			Life insurance companies, separate accounts; corporate and foreign bonds; asset (book value)
2019q1	543063045	Deleted			Life insurance companies, general accounts; corporate and foreign bonds; asset (book value)
2019q1	543062065	Deleted			Life insurance companies; municipal securities; asset (book value)
2019q1	543062053	Deleted			Life insurance companies, separate accounts; municipal securities; asset (book value)
2019q1	543062043	Deleted			Life insurance companies, general accounts; municipal securities; asset (book value)
2019q1	543061765	Deleted			Life insurance companies; agency- and GSE-backed securities; asset (book value)
2019q1	543061753	Deleted			Life insurance companies, separate accounts; agency- and GSE-backed securities; asset (book value)
2019q1	543061743	Deleted			Life insurance companies, general accounts; agency- and GSE-backed securities; asset (book value)
2019q1	543061165	Deleted			Life insurance companies; Treasury securities; asset (book value)
2019q1	543061153	Deleted			Life insurance companies, separate accounts; Treasury securities; asset (book value)
2019q1	543061143	Deleted			Life insurance companies, general accounts; Treasury securities; asset (book value)
2019q1	513363803	513363003			Property-casualty insurance companies; corporate and foreign bonds lent; asset
2019q1	513363203	Deleted			Property-casualty insurance companies; foreign bonds lent; asset
2019q1	513063663	Deleted			Property-casualty insurance companies; mortgage-backed securities and other asset-backed bonds; asset (book value)
2019q1	513063063	Deleted			Property-casualty insurance companies; corporate and foreign bonds; asset (book value)
2019q1	513062063	Deleted			Property-casualty insurance companies; municipal securities; asset (book value)
2019q1	513061763	Deleted			Property-casualty insurance companies; agency- and GSE-backed securities; asset (book value)
2019q1	513061163	Deleted			Property-casualty insurance companies; Treasury securities; asset (book value)
2018q4	New code	915000085			Other financial corporations and insurance companies and pension funds; net claims on depository institutions; asset
2018q4	New code	915000065	 X.13	 1	Other financial corporations and insurance companies and pension funds; net claims on the rest of the world; asset
2018q4	New code	915000055	 X.13	 5	Other financial corporations and insurance companies and pension funds; net claims on the general government; asset
2018q4	New code	915000045			Other financial corporations and insurance companies and pension funds; net claims on nonfinancial businesses and households and nonprofit organizations; asset
2018q4	New code	915000015	 X.13	 4	Other financial corporations and insurance companies and pension funds; net domestic claims; asset
2018q4	New code	914190085	 X.13	 10	Other financial corporations and insurance companies and pension funds; liabilities to depository institutions
2018q4	New code	914190065	 X.13	 3	Other financial corporations and insurance companies and pension funds; liabilities to the rest of the world
2018q4	New code	914190055	 X.13	 7	Other financial corporations and insurance companies and pension funds; liabilities to the general government
2018q4	New code	914190045	 X.13	 11	Other financial corporations and insurance companies and pension funds; liabilities to nonfinancial businesses and households and nonprofit organizations
2018q4	New code	914090085	 X.13	 8	Other financial corporations and insurance companies and pension funds; claims on depository institutions; asset
2018q4	New code	914090065	 X.13	 2	Other financial corporations and insurance companies and pension funds; claims on the rest of the world; asset
2018q4	New code	914090055	 X.13	 6	Other financial corporations and insurance companies and pension funds; claims on the general government; asset
2018q4	New code	914090045	 X.13	 9	Other financial corporations and insurance companies and pension funds; claims on the nonfinancial businesses and households and nonprofit organizations; asset
2018q4	New code	913181005	 X.13	 12	Other financial corporations and insurance companies and pension funds; equity and investment fund shares; liability
2018q4	New code	913096005	 X.13	 13	Other financial corporations and insurance companies and pension funds; other accounts receivable (net)
2018q4	New code	913093093			Other financial corporations and insurance companies and pension funds; unidentified miscellaneous assets due from non-depository financial institutions
2018q4	New code	913093083			Other financial corporations and insurance companies and pension funds; unidentified miscellaneous assets due from private depository institutions
2018q4	New code	913093043			Other financial corporations and insurance companies and pension funds; unidentified miscellaneous assets due from nonfinancial businesses
2018q4	New code	913070093			Other financial corporations and insurance companies and pension funds; trade receivables due from non-depository financial institutions; asset
2018q4	New code	913070063			Other financial corporations and insurance companies and pension funds; trade receivables due from the rest of the world; asset
2018q4	New code	913070045			Other financial corporations and insurance companies and pension funds; trade receivables due from nonfinancial businesses; asset
2018q4	New code	913070023			Other financial corporations and insurance companies and pension funds; trade receivables due from state and local governments; asset
2018q4	New code	913070013			Other financial corporations and insurance companies and pension funds; trade receivables due from nonprofit organizations; asset
2018q4	New code	913065593			Other financial corporations and insurance companies and pension funds; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	913065545			Other financial corporations and insurance companies and pension funds; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	913065513			Other financial corporations and insurance companies and pension funds; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	913065493			Other financial corporations and insurance companies and pension funds; multifamily residential mortgage lending to non-depository financial institutions; asset
2018q4	New code	913065445			Other financial corporations and insurance companies and pension funds; multifamily residential mortgage lending to nonfinancial businesses; asset
2018q4	New code	913065433			Other financial corporations and insurance companies and pension funds; multifamily residential mortgage lending to the federal government; asset
2018q4	New code	913065143			Other financial corporations and insurance companies and pension funds; home mortgage lending to nonfinancial businesses; asset
2018q4	New code	913065115			Other financial corporations and insurance companies and pension funds; home mortgages and home equity loans to households; asset
2018q4	New code	913064193			Other financial corporations and insurance companies and pension funds; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	913064183			Other financial corporations and insurance companies and pension funds; corporate equities issued by private depository institutions; asset
2018q4	New code	913064163			Other financial corporations and insurance companies and pension funds; corporate equities issued by the rest of the world; asset
2018q4	New code	913064145			Other financial corporations and insurance companies and pension funds; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	912150005			Other financial corporations and insurance companies and pension funds; federal funds and security repurchase agreements; liability
2018q4	New code	912050095			Other financial corporations and insurance companies and pension funds; federal funds and security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	912050083			Other financial corporations and insurance companies and pension funds; federal funds and security repurchase agreements issued by private depository institutions; asset
2018q4	New code	912050073			Other financial corporations and insurance companies and pension funds; federal funds and security repurchase agreements issued by the central bank; asset
2018q4	New code	912050063			Other financial corporations and insurance companies and pension funds; federal funds and security repurchase agreements issued by the rest of the world; asset
2018q4	New code	904022005	 L.208, Levels_matrix	 55, 13:17	Instrument discrepancies; debt securities (level)
2018q4	New code	903063003	 L.213, Levels_matrix	 48, 18:17	Instrument discrepancies; corporate and foreign bonds (level)
2018q4	New code	903062003	 L.212, Levels_matrix	 27, 17:17	Instrument discrepancies; municipal securities (level)
2018q4	New code	903061703	 L.211, Levels_matrix	 28, 16:17	Instrument discrepancies; agency and GSE-backed securities (level)
2018q4	New code	903061103	 L.210, Levels_matrix	 56, 15:17	Instrument discrepancies; Treasury securities (level)
2018q4	New code	894022005	 L.208, Levels_matrix	 25, 13:15	All sectors; total debt securities; asset
2018q4	New code	893063005	 F.213, L.213, Flows_matrix, Levels_matrix	 12, 12, 28:15, 18:15	All sectors; corporate and foreign bonds; asset
2018q4	New code	893062005	 L.212, Levels_matrix	 7, 17:15	All sectors; municipal securities; asset
2018q4	New code	783093093			Private depository institutions and money market funds; unidentified miscellaneous assets due from non-depository financial institutions
2018q4	New code	783093083			Private depository institutions and money market funds; unidentified miscellaneous assets due from private depository institutions
2018q4	New code	783093043			Private depository institutions and money market funds; unidentified miscellaneous assets due from nonfinancial businesses
2018q4	New code	782050095			Private depository institutions and money market funds; federal funds and security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	782050083			Private depository institutions and money market funds; federal funds and security repurchase agreements issued by private depository institutions; asset
2018q4	New code	782050073			Private depository institutions and money market funds; federal funds and security repurchase agreements issued by the central bank; asset
2018q4	New code	782050063			Private depository institutions and money market funds; federal funds and security repurchase agreements issued by the rest of the world; asset
2018q4	New code	712051095			Monetary authority; security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	712051083			Monetary authority; security repurchase agreements issued by private depository institutions; asset
2018q4	New code	704090085	 S.62.a	 79	Private depository institutions; revaluation of total financial assets (IMA)
2018q4	New code	703169105			Private depository institutions; commercial paper; liability
2018q4	New code	703065593			Private depository institutions; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	703065545			Private depository institutions; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	703065513			Private depository institutions; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	703065493			Private depository institutions; multifamily residential mortgage lending to non-depository financial institutions; asset
2018q4	New code	703065445			Private depository institutions; multifamily residential mortgage lending to nonfinancial businesses; asset
2018q4	New code	703065433			Private depository institutions; multifamily residential mortgage lending to the federal government; asset
2018q4	New code	703065143			Private depository institutions; home mortgage lending to nonfinancial businesses; asset
2018q4	New code	703065115			Private depository institutions; home mortgages and home equity loans to households; asset
2018q4	New code	703064193			Private depository institutions; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	703064183			Private depository institutions; corporate equities issued by private depository institutions; asset
2018q4	New code	703064163			Private depository institutions; corporate equities issued by the rest of the world; asset
2018q4	New code	703064145			Private depository institutions; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	473066403			Credit unions; consumer credit, auto loans; asset
2018q4	New code	473066203			Credit unions; consumer credit, other loans; asset
2018q4	New code	473066103			Credit unions; consumer credit, credit cards; asset
2018q4	New code	313093093			Federal government; unidentified miscellaneous assets due from non-depository financial institutions
2018q4	New code	313093083			Federal government; unidentified miscellaneous assets due from private depository institutions
2018q4	New code	313093043			Federal government; unidentified miscellaneous assets due from nonfinancial businesses
2018q4	New code	313078093			Federal government; taxes receivable from non-depository financial institutions; asset 
2018q4	New code	313078083			Federal government; taxes receivable from private depository institutions; asset 
2018q4	New code	313078043			Federal government; taxes receivable from nonfinancial businesses; asset 
2018q4	New code	313070093			Federal government; trade receivables due from non-depository financial institutions; asset
2018q4	New code	313070063			Federal government; trade receivables due from the rest of the world; asset
2018q4	New code	313070045			Federal government; trade receivables due from nonfinancial businesses; asset
2018q4	New code	313070023			Federal government; trade receivables due from state and local governments; asset
2018q4	New code	313070013			Federal government; trade receivables due from nonprofit organizations; asset
2018q4	New code	313065943			Federal government; home mortgage lending to nonfinancial businesses; asset
2018q4	New code	313065915			Federal government; home mortgage lending to households and nonprofit organizations; asset
2018q4	New code	313065893			Federal government; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	313065845			Federal government; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	313065813			Federal government; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	313065793			Federal government; multifamily residential mortgage lending to non-depository financial institutions; asset
2018q4	New code	313065745			Federal government; multifamily residential mortgage lending to nonfinancial businesses; asset
2018q4	New code	313065733			Federal government; multifamily residential mortgage lending to the federal government; asset
2018q4	New code	313064195			Federal government; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	263070093			Rest of the world; trade receivables due from non-depository financial institutions; asset
2018q4	New code	263070045			Rest of the world; trade receivables due from nonfinancial businesses; asset
2018q4	New code	263070023			Rest of the world; trade receivables due from state and local governments; asset
2018q4	New code	263070013			Rest of the world; trade receivables due from nonprofit organizations; asset
2018q4	New code	263064193			Rest of the world; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	263064183			Rest of the world; corporate equities issued by private depository institutions; asset
2018q4	New code	263064145			Rest of the world; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	262051095			Rest of the world; security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	262051083			Rest of the world; security repurchase agreements issued by private depository institutions; asset
2018q4	New code	213093093			State and local governments, excluding employee retirement funds; unidentified miscellaneous assets due from non-depository financial institutions
2018q4	New code	213093083			State and local governments, excluding employee retirement funds; unidentified miscellaneous assets due from private depository institutions
2018q4	New code	213093043			State and local governments, excluding employee retirement funds; unidentified miscellaneous assets due from nonfinancial businesses
2018q4	New code	213078093			State and local governments, excluding employee retirement funds; taxes receivable from non-depository financial institutions; asset 
2018q4	New code	213078083			State and local governments, excluding employee retirement funds; taxes receivable from private depository institutions; asset 
2018q4	New code	213078043			State and local governments, excluding employee retirement funds; taxes receivable from nonfinancial businesses; asset 
2018q4	New code	213070093			State and local governments, excluding employee retirement funds; trade receivables due from non-depository financial institutions; asset
2018q4	New code	213070063			State and local governments, excluding employee retirement funds; trade receivables due from the rest of the world; asset
2018q4	New code	213070045			State and local governments, excluding employee retirement funds; trade receivables due from nonfinancial businesses; asset
2018q4	New code	213070023			State and local governments, excluding employee retirement funds; trade receivables due from state and local governments; asset
2018q4	New code	213070013			State and local governments, excluding employee retirement funds; trade receivables due from nonprofit organizations; asset
2018q4	New code	213065593			State and local governments, excluding employee retirement funds; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	213065545			State and local governments, excluding employee retirement funds; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	213065513			State and local governments, excluding employee retirement funds; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	213065493			State and local governments, excluding employee retirement funds; multifamily residential mortgage lending to non-depository financial institutions; asset
2018q4	New code	213065445			State and local governments, excluding employee retirement funds; multifamily residential mortgage lending to nonfinancial businesses; asset
2018q4	New code	213065433			State and local governments, excluding employee retirement funds; multifamily residential mortgage lending to the federal government; asset
2018q4	New code	213065143			State and local governments, excluding employee retirement funds; home mortgage lending to nonfinancial businesses; asset
2018q4	New code	213065115			State and local governments, excluding employee retirement funds; home mortgage lending to households and nonprofit organizations; asset
2018q4	New code	213064193			State and local governments, excluding employee retirement funds; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	213064183			State and local governments, excluding employee retirement funds; corporate equities issued by private depository institutions; asset
2018q4	New code	213064163			State and local governments, excluding employee retirement funds; corporate equities issued by the rest of the world; asset
2018q4	New code	213064145			State and local governments, excluding employee retirement funds; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	212051095			State and local governments, excluding employee retirement funds; security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	212051083			State and local governments, excluding employee retirement funds; security repurchase agreements issued by private depository institutions; asset
2018q4	New code	212051063			State and local governments, excluding employee retirement funds; security repurchase agreements issued by the rest of the world; asset
2018q4	New code	163070093			Nonprofit organizations; trade receivables due from non-depository financial institutions; asset
2018q4	New code	163070073			Nonprofit organizations; trade receivables due from state and local governments; asset
2018q4	New code	163070063			Nonprofit organizations; trade receivables due from the rest of the world; asset
2018q4	New code	163070053			Nonprofit organizations; trade receivables due from nonprofit organizations; asset
2018q4	New code	163070045			Nonprofit organizations; trade receivables due from nonfinancial businesses; asset
2018q4	New code	153065593			Households and nonprofit organizations; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	153065545			Households and nonprofit organizations; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	153065513			Households and nonprofit organizations; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	153064193			Households and nonprofit organizations; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	153064183			Households and nonprofit organizations; corporate equities issued by private depository institutions; asset
2018q4	New code	153064163			Households and nonprofit organizations; corporate equities issued by the rest of the world; asset
2018q4	New code	153064145			Households and nonprofit organizations; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	153027085			Households and nonprofit organizations; checkable deposits due from private depository institutions; asset
2018q4	New code	153025075			Households and nonprofit organizations; currency due from the monetary authority; asset
2018q4	New code	143093093			Nonfinancial business; unidentified miscellaneous assets due from non-depository financial institutions
2018q4	New code	143093083			Nonfinancial business; unidentified miscellaneous assets due from private depository institutions
2018q4	New code	143093043			Nonfinancial business; unidentified miscellaneous assets due from nonfinancial businesses
2018q4	New code	143070093			Nonfinancial business; trade receivables due from non-depository financial institutions; asset
2018q4	New code	143070063			Nonfinancial business; trade receivables due from the rest of the world; asset
2018q4	New code	143070045			Nonfinancial business; trade receivables due from nonfinancial businesses; asset
2018q4	New code	143070023			Nonfinancial business; trade receivables due from state and local governments; asset
2018q4	New code	143070013			Nonfinancial business; trade receivables due from nonprofit organizations; asset
2018q4	New code	143065593			Nonfinancial business; commercial mortgage lending to non-depository financial institutions; asset
2018q4	New code	143065545			Nonfinancial business; commercial mortgage lending to nonfinancial businesses; asset
2018q4	New code	143065513			Nonfinancial business; commercial mortgage lending to nonprofit organizations; asset
2018q4	New code	143065493			Nonfinancial business; multifamily residential mortgage lending to non-depository financial institutions; asset
2018q4	New code	143065445			Nonfinancial business; multifamily residential mortgage lending to nonfinancial businesses; asset
2018q4	New code	143065433			Nonfinancial business; multifamily residential mortgage lending to the federal government; asset
2018q4	New code	143065143			Nonfinancial business; home mortgage lending to nonfinancial businesses; asset
2018q4	New code	143065115			Nonfinancial business; home mortgage lending to households and nonprofit organizations; asset
2018q4	New code	143065105			Nonfinancial business; home mortgages; asset
2018q4	New code	143027085			Nonfinancial business; checkable deposits due from private depository institutions; asset
2018q4	New code	143025073			Nonfinancial business; currency due from the monetary authority; asset
2018q4	New code	103064193			Nonfinancial corporate business; corporate equities issued by non-depository financial institutions; asset
2018q4	New code	103064183			Nonfinancial corporate business; corporate equities issued by private depository institutions; asset
2018q4	New code	103064163			Nonfinancial corporate business; corporate equities issued by the rest of the world; asset
2018q4	New code	103064145			Nonfinancial corporate business; corporate equities issued by nonfinancial corporate businesses; asset
2018q4	New code	102051095			Nonfinancial corporate business; security repurchase agreements issued by non-depository financial institutions; asset
2018q4	New code	102051083			Nonfinancial corporate business; security repurchase agreements issued by private depository institutions; asset
2018q4	New code	102051063			Nonfinancial corporate business; security repurchase agreements issued by the rest of the world; asset
2018q4	913063043	913063045			Other financial corporations and insurance companies and pension funds; corporate bonds issued by nonfinancial corporate businesses; asset
2018q4	913062123	913062125			Other financial corporations and insurance companies and pension funds; municipal securities issued by state and local governments; asset
2018q4	783063043	783063045			Private depository institutions and money market funds; corporate bonds issued by nonfinancial corporate businesses; asset
2018q4	783062123	783062125			Private depository institutions and money market funds; municipal securities issued by state and local governments; asset
2018q4	263063043	263063045			Rest of the world; corporate bonds issued by nonfinancial corporate businesses; asset
2018q4	263062123	263062125			Rest of the world; municipal securities issued by state and local governments; asset
2018q4	213063043	213063045			State and local governments, excluding employee retirement funds; corporate bonds issued by nonfinancial corporate businesses; asset
2018q4	213062123	213062125			State and local governments, excluding employee retirement funds; municipal securities issued by state and local governments; asset
2018q4	153063095	153063093			Households and nonprofit organizations; corporate bonds issued by non-depository financial institutions; asset
2018q4	153063085	153063083			Households and nonprofit organizations; corporate bonds issued by private depository institutions; asset
2018q4	153063065	153063063	 X.12	 27	Households and nonprofit organizations; foreign bonds; asset
2018q4	153062145	153062143			Households and nonprofit organizations; municipal securities issued by nonfinancial corporate businesses; asset
2018q4	153062115	153062113	 X.12	 25	Households and nonprofit organizations; municipal securities issued by nonprofit organizations; asset
2018q4	143062123	143062125			Nonfinancial business; municipal securities issued by state and local governments; asset
2018q3	New code	753169175	 F.112, F.208, L.112, L.208	 26, 15, 24, 15	Foreign banking offices in the U.S.; open market paper; liability
2018q3	New code	753169103	 F.209, L.209	 9, 9	Foreign banking offices in the U.S.; asset-backed commercial paper; liability
2018q3	New code	594023005	 F.117, L.117	 14, 12	Pension funds; loans; asset
2018q3	New code	583069005			Insurance companies and pension funds; other loans and advances; asset
2018q3	New code	543150286			Life insurance companies, separate accounts; share of general account annuities that are sold to individuals, excluding unallocated insurance contracts; liability
2018q3	New code	543150276			Life insurance companies, general accounts; share of general account annuities that are sold to individuals, excluding unallocated insurance contracts; liability
2018q3	New code	363169005	 F.105, L.105, 620_matrix, 720_matrix	 56, 32, 48:17, 48:17	General government; other loans and advances; liability
2018q3	New code	314123005	 F.106, F.214, S.7.a, S.7.a, S.7.q, S.7.q, L.106, L.214, Flows_matrix, Levels_matrix, 610_matrix, 620_matrix, 710_matrix, 720_matrix, SBS_matrix	 49, 15, 68, 133, 62, 127, 25, 15, 29:6, 19:6, 47:17, 47:18, 47:17, 47:18, 14:8	Federal government; loans; liability
2018q3	543150023	543150205			Life insurance companies; individual annuity reserves; liability
2018q3	343073053	313169003	 F.106, F.117, F.119, F.119.c, F.214, F.216, F.216, L.106, L.117, L.119, L.119.c, L.214, L.216, L.216, Flows_matrix, Levels_matrix, 610_matrix, 620_matrix, 710_matrix, 720_matrix	 51, 15, 9, 7, 44, 11, 12, 27, 13, 8, 6, 44, 11, 12, 31:6, 21:6, 48:17, 48:18, 48:17, 48:18	Federal government defined contribution retirement funds; other loans and advances; liability
2018q3	343073005	Deleted	F.106, F.119, F.231, F.233, F.233, 620_matrix, S.7.Q, L.106, L.119, L.231, L.233, L.233, 720_matrix, S.7.Q	53, 9, 35, 31, 34, 63:18, 66, 29, 9, 35, 31, 34, 63:18, 131	Federal government retirement funds; claims of pension fund on sponsor; asset
2018q3	316300003	316300001	 F.4, F.106, S.2.a, S.2.q, S.7.a, S.7.a, S.7.q, S.7.q, Flows_matrix	 19, 17, 33, 33, 2, 31, 2, 25, 2:6	Federal government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)
2018q3	313078013	Deleted			Federal government; taxes receivable, tax on foreign earnings retained abroad; asset
2018q3	313078005	313078000	 F.106, F.228, S.7.a, S.7.a, S.7.q, S.7.q, L.106, L.228, Flows_matrix, Levels_matrix	 38, 10, 60, 124, 54, 118, 14, 10, 39:5, 29:5	Federal government; total taxes receivable; asset
2018q3	206300003	206300001	 F.4, F.107, S.2.a, S.2.q, S.8.a, S.8.a, S.8.q, S.8.q, Flows_matrix	 20, 16, 34, 34, 2, 31, 2, 25, 2:8	State and local governments; consumption of fixed capital, equipment, software, and structures, current cost basis (NIPA basis)
2018q3	145020013	145020011			Nonfinancial business; inventories (excluding farms)
2018q3	116112103	116112101	 F.3	 6	Nonfinancial noncorporate business; rental income of persons with CCAdj
2018q3	087005003	087005001			Gross domestic product (GDP); statistical discrepancy 
2018q3	086902043	086902041			Real gross domestic product 
2018q2	New code	914022095			Other financial corporations and insurance companies and pension funds; debt securities issued by non-depository financial institutions; asset
2018q2	New code	914022085			Other financial corporations and insurance companies and pension funds; debt securities issued by private depository institutions; asset
2018q2	New code	914022065			Other financial corporations and insurance companies and pension funds; debt securities issued by the rest of the world; asset
2018q2	New code	914022045			Other financial corporations and insurance companies and pension funds; debt securities issued by nonfinancial businesses; asset
2018q2	New code	914022035			Other financial corporations and insurance companies and pension funds; debt securities issued by the federal government; asset
2018q2	New code	914022005			Other financial corporations and insurance companies and pension funds; debt securities; asset
2018q2	New code	913069193			Other financial corporations and insurance companies and pension funds; commercial paper issued by non-depository financial institutions; asset
2018q2	New code	913069183			Other financial corporations and insurance companies and pension funds; commercial paper issued by private depository institutions; asset
2018q2	New code	913069163			Other financial corporations and insurance companies and pension funds; commercial paper issued by the rest of the world; asset
2018q2	New code	913069143			Other financial corporations and insurance companies and pension funds; commercial paper issued by nonfinancial corporate businesses; asset
2018q2	New code	913063093			Other financial corporations and insurance companies and pension funds; corporate bonds issued by non-depository financial institutions; asset
2018q2	New code	913063083			Other financial corporations and insurance companies and pension funds; corporate bonds issued by private depository institutions; asset
2018q2	New code	913063063			Other financial corporations and insurance companies and pension funds; foreign bonds; asset
2018q2	New code	913063043			Other financial corporations and insurance companies and pension funds; corporate bonds issued by nonfinancial corporate businesses; asset
2018q2	New code	913062143			Other financial corporations and insurance companies and pension funds; municipal securities issued by nonfinancial corporate businesses; asset
2018q2	New code	913062123			Other financial corporations and insurance companies and pension funds; municipal securities issued by state and local governments; asset
2018q2	New code	913062113			Other financial corporations and insurance companies and pension funds; municipal securities issued by nonprofit organizations; asset
2018q2	New code	913061793			Other financial corporations and insurance companies and pension funds; agency- and GSE-backed securities issued by non-depository financial institutions; asset
2018q2	New code	913061735			Other financial corporations and insurance companies and pension funds; agency securities issued by federal government; asset
2018q2	New code	893150005	 F.227, F.227, L.227, L.227, Flows_matrix, Flows_matrix, Levels_matrix, Levels_matrix	 1, 7, 1, 7, 38:15, 38:16, 28:15, 28:16	All sectors; pension entitlements; liability
2018q2	New code	893140005	 F.226, F.226, L.226, L.226, Flows_matrix, Flows_matrix, Levels_matrix, Levels_matrix	 1, 5, 1, 5, 37:15, 37:16, 27:15, 27:16	All sectors; life insurance reserves; liability
2018q2	New code	884022135	 X.12	 31	All domestic sectors; debt securities issued by government; asset
2018q2	New code	884022125	 X.12	 30	All domestic sectors; debt securities issued by financial corporations; asset
2018q2	New code	884022105	 X.12	 33	All domestic sectors; debt securities issued by domestic sectors; asset
2018q2	New code	884022045	 X.12	 29	All domestic sectors; debt securities issued by nonfinancial businesses; asset
2018q2	New code	883152205	 620_matrix, 720_matrix	 60:1, 60:1	All domestic sectors; life insurance and annuity entitlements; liability (IMA)
2018q2	New code	883062015	 X.12	 32	All domestic sectors; municipal securities issued by nonprofit organizations; asset
2018q2	New code	883062005			All domestic sectors; municipal securities; asset
2018q2	New code	883052505			All domestic sectors; entitlements to non-pension benefits; asset (IMA)
2018q2	New code	883052105	 620_matrix, 720_matrix	 24:1, 24:1	All domestic sectors; non-life insurance technical reserves; asset (IMA)
2018q2	New code	883034010			All domestic sectors; money market fund shares held in institutional accounts; asset
2018q2	New code	794022135	 X.12	 10	Other financial corporations and insurance companies and pension funds; debt securities issued by government; asset
2018q2	New code	794022125	 X.12	 9	Other financial corporations and insurance companies and pension funds; debt securities issued by financial corporations; asset
2018q2	New code	794022105	 X.12	 12	Other financial corporations and insurance companies and pension funds; debt securities issued by domestic sectors; asset
2018q2	New code	794022065	 X.12	 13	Other financial corporations and insurance companies and pension funds; debt securities issued by the rest of the world; asset
2018q2	New code	794022045	 X.12	 8	Other financial corporations and insurance companies and pension funds; debt securities issued by nonfinancial businesses; asset
2018q2	New code	794022015	 X.12	 11	Other financial corporations and insurance companies and pension funds; debt securities issued by nonprofit organizations; asset
